description,date,entry_type,amount,iso_currency_code,country,account_holder_type,account_holder_id,merchant_correct,website_correct,labels_correct
EARLY PAY: PETCO ANIMAL SUP DIRECT DEP 661021916777KVV 012243,2023-01-01,incoming,1290.44,USD,US,consumer,benchmark_account,Petco,petco.com,Paycheck
DOORDASH*ZEEKS PIZZA,2023-01-02,outgoing,82.8,USD,US,consumer,benchmark_account,DoorDash,doordash.com,Food and Drink
Withdrawal ACH NSF Fee ($323.55 KWIKCASHKC),2023-01-03,outgoing,19.95,USD,US,consumer,benchmark_account,KwikCash,kwikcashonline.com,Non-sufficient funds / Overdraft fee
BILL PAY BMW R18 CLASSIC                       RECURRING xxxxxx9876 ON 01-04,2023-01-04,outgoing,798,USD,US,consumer,benchmark_account,BMW,bmw.com,Auto lease payment
1108914IH2NS48MR HABIT PROVO 0279,2023-01-05,outgoing,16.8,USD,US,consumer,benchmark_account,The Habit Burger Grill,habitburger.com,Food and Drink
0173 AMC MESQUITE 23 MESQUITE TX 01/06,2023-01-06,outgoing,40.32,USD,US,consumer,benchmark_account,AMC Theatres,amctheatres.com,Entertainment and recreation
"SUDSHARE* S...876 SUDSHARE, .C #100",2023-01-07,outgoing,20.39,USD,US,consumer,benchmark_account,SudShare,https://poplin.co/ | sudshare.com,Laundry
EB SLANDER PRESEN 04/12 PURCHASE 8091735211,2023-01-08,outgoing,1767.03,USD,US,consumer,benchmark_account,Eventbrite,eventbrite.com,Entertainment and recreation
Brigit-com PROTECTION WEB 8JDB682JD0,2023-01-09,outgoing,105,USD,US,consumer,benchmark_account,Brigit,hellobrigit.com,Loan repayment
"Direct Debit: Napa Benefits, 892830232",2023-01-10,outgoing,46.73,USD,US,consumer,benchmark_account,NAPABenefits | NAPA Benefits,napa-benefits.org,Insurance
POS PURCH - AFTERPAY 5999 CA 101-928739273 AFTERPAY US,2023-01-11,outgoing,49.36,USD,US,consumer,benchmark_account,Afterpay,afterpay.com,"Buy now, pay later"
TEDS MONTANA GRILL 12,2023-01-12,outgoing,72.07,USD,US,consumer,benchmark_account,Ted's Montana Grill,tedsmontanagrill.com,Food and Drink
CAPITAL ONE ONLINE PMT 781123 2NYXE2URO2XY,2023-01-13,outgoing,988.71,USD,US,consumer,benchmark_account,Capital One,capitalone.com,Credit card bill
23617 POS SIGNATURE FRITZS AUTO SPA LLC FRITZS AUTO SPA LL SAINT JOSEP,2023-01-14,outgoing,9.45,USD,US,consumer,benchmark_account,Fritz's Auto Spa,fritzscarwash.com,Vehicle maintenance
Goody Goody Liqu#10d,2023-01-15,outgoing,52.5,USD,US,consumer,benchmark_account,Goody Goody,https://www.goodygoody.com/,Liquor
